time,sea_level_m,temperature_C,dissolved_o2,salinity_psu,current_u,current_v,current_speed_m_s,ph,turbidity_kd
2021-04-11,0.31930956,19.374306,281.69223,18.437645,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-12,0.3220553,19.374306,281.69223,18.433346,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-13,0.32140553,19.374306,281.69223,18.423803,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-14,0.32153168,19.374306,281.69223,18.41889,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-15,0.32078972,19.374306,281.69223,18.41978,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-16,0.32065216,19.374306,281.69223,18.412476,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-17,0.32171988,19.374306,281.69223,18.400038,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-18,0.32276708,19.374306,281.69223,18.398867,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-19,0.32440513,19.374306,281.69223,18.38764,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-20,0.3304895,19.374306,281.69223,18.381086,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-21,0.33067536,19.374306,281.69223,18.377966,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-22,0.33105022,19.374306,281.69223,18.367561,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-23,0.3320795,19.374306,281.69223,18.362103,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-24,0.33183986,19.374306,281.69223,18.363361,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-25,0.33185026,19.374306,281.69223,18.355227,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-26,0.33255506,19.374306,281.69223,18.352203,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-27,0.3331875,19.374306,281.69223,18.352932,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-28,0.33306128,19.374306,281.69223,18.358673,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-29,0.33204594,19.374306,281.69223,18.353302,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-04-30,0.33227617,19.374306,281.69223,18.346548,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-01,0.3325791,19.374306,281.69223,18.344028,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-02,0.33333695,19.374306,281.69223,18.342676,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-05-03,0.3338727,19.374306,281.69223,18.344986,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
