time,salinity_psu
2021-04-03,18.451483
2021-04-04,18.4443
2021-04-05,18.446285
2021-04-06,18.444664
2021-04-07,18.441727
2021-04-08,18.444376
2021-04-09,18.44336
2021-04-10,18.439333
2021-04-11,18.437645
2021-04-12,18.433346
2021-04-13,18.423803
2021-04-14,18.41889
2021-04-15,18.41978
2021-04-16,18.412476
2021-04-17,18.400038
2021-04-18,18.398867
2021-04-19,18.38764
2021-04-20,18.381086
2021-04-21,18.377966
2021-04-22,18.367561
2021-04-23,18.362103
2021-04-24,18.363361
2021-04-25,18.355227
2021-04-26,18.352203
2021-04-27,18.352932
2021-04-28,18.358673
2021-04-29,18.353302
2021-04-30,18.346548
2021-05-01,18.344028
2021-05-02,18.342676
2021-05-03,18.344986
2021-05-04,18.354555
2021-05-05,18.360641
2021-05-06,18.35468
2021-05-07,18.345768
2021-05-08,18.353537
2021-05-09,18.354612
2021-05-10,18.35171
2021-05-11,18.352901
2021-05-12,18.352453
2021-05-13,18.33923
2021-05-14,18.331953
2021-05-15,18.319656
2021-05-16,18.314957
2021-05-17,18.312637
2021-05-18,18.312696
2021-05-19,18.324965
2021-05-20,18.324392
2021-05-21,18.332043
2021-05-22,18.32973
2021-05-23,18.316965
2021-05-24,18.318457
2021-05-25,18.326956
2021-05-26,18.322165
2021-05-27,18.324076
2021-05-28,18.32216
2021-05-29,18.317068
2021-05-30,18.31253
2021-05-31,18.30324
2021-06-01,18.300255
2021-06-02,18.29461
2021-06-03,18.29869
2021-06-04,18.315409
2021-06-05,18.31252
2021-06-06,18.302336
2021-06-07,18.297028
2021-06-08,18.281607
2021-06-09,18.277493
2021-06-10,18.27429
2021-06-11,18.271421
2021-06-12,18.265223
2021-06-13,18.259203
2021-06-14,18.268764
2021-06-15,18.261395
2021-06-16,18.256603
2021-06-17,18.249437
2021-06-18,18.237219
2021-06-19,18.22982
2021-06-20,18.230877
2021-06-21,18.222914
2021-06-22,18.208523
2021-06-23,18.198256
2021-06-24,18.188627
2021-06-25,18.180119
2021-06-26,18.178974
2021-06-27,18.188684
2021-06-28,18.185717
2021-06-29,18.180784
2021-06-30,18.173798
2021-07-01,18.177977
2021-07-02,18.169592
2021-07-03,18.174126
2021-07-04,18.155636
2021-07-05,18.147764
2021-07-06,18.146984
2021-07-07,18.15505
2021-07-08,18.165695
2021-07-09,18.180988
2021-07-10,18.190493
2021-07-11,18.196692
2021-07-12,18.193441
2021-07-13,18.194618
2021-07-14,18.202135
2021-07-15,18.20451
2021-07-16,18.214384
2021-07-17,18.219826
2021-07-18,18.220947
2021-07-19,18.221191
2021-07-20,18.22771
2021-07-21,18.235085
2021-07-22,18.241924
2021-07-23,18.255726
2021-07-24,18.257603
2021-07-25,18.263666
2021-07-26,18.261822
2021-07-27,18.256704
2021-07-28,18.250488
2021-07-29,18.246084
2021-07-30,18.250614
2021-07-31,18.250435
2021-08-01,18.241564
2021-08-02,18.24768
2021-08-03,18.23385
2021-08-04,18.23753
2021-08-05,18.229425
2021-08-06,18.231941
2021-08-07,18.232206
2021-08-08,18.245407
2021-08-09,18.24003
2021-08-10,18.237848
2021-08-11,18.232035
2021-08-12,18.234926
2021-08-13,18.252405
2021-08-14,18.257362
2021-08-15,18.258404
2021-08-16,18.256893
2021-08-17,18.253353
2021-08-18,18.24934
2021-08-19,18.264185
2021-08-20,18.276653
2021-08-21,18.286583
2021-08-22,18.288704
2021-08-23,18.284847
2021-08-24,18.284475
2021-08-25,18.299866
2021-08-26,18.294296
2021-08-27,18.288437
2021-08-28,18.286146
2021-08-29,18.285646
2021-08-30,18.287159
2021-08-31,18.305489
2021-09-01,18.308006
2021-09-02,18.321327
2021-09-03,18.33509
2021-09-04,18.332825
2021-09-05,18.336262
2021-09-06,18.349955
2021-09-07,18.36041
2021-09-08,18.3829
2021-09-09,18.390251
2021-09-10,18.39598
2021-09-11,18.393524
2021-09-12,18.405338
2021-09-13,18.402428
2021-09-14,18.392065
2021-09-15,18.39065
2021-09-16,18.378546
2021-09-17,18.377916
2021-09-18,18.375237
2021-09-19,18.369894
2021-09-20,18.373497
2021-09-21,18.380163
2021-09-22,18.377552
2021-09-23,18.378244
2021-09-24,18.36677
2021-09-25,18.365332
2021-09-26,18.373676
2021-09-27,18.371119
2021-09-28,18.40516
2021-09-29,18.412956
2021-09-30,18.430857
2021-10-01,18.438301
2021-10-02,18.429892
2021-10-03,18.424458
2021-10-04,18.41874
2021-10-05,18.421879
2021-10-06,18.425869
2021-10-07,18.431229
2021-10-08,18.43127
2021-10-09,18.430862
2021-10-10,18.431875
2021-10-11,18.426723
2021-10-12,18.422869
2021-10-13,18.425667
2021-10-14,18.439785
2021-10-15,18.439003
2021-10-16,18.436604
2021-10-17,18.4359
2021-10-18,18.438662
2021-10-19,18.439133
2021-10-20,18.426779
2021-10-21,18.424606
2021-10-22,18.42469
2021-10-23,18.41803
2021-10-24,18.43395
