time,dissolved_o2,primary_production
2022-09-23,246.58646,21.414959
2022-09-24,247.75166,21.500132
2022-09-25,248.89061,21.460981
2022-09-26,249.38847,21.913816
2022-09-27,249.9481,21.87904
2022-09-28,250.44284,22.247196
2022-09-29,250.7721,21.563303
2022-09-30,250.87605,21.780445
2022-10-01,251.04842,21.817266
2022-10-02,250.82465,21.075792
2022-10-03,251.5555,21.55257
2022-10-04,251.7562,21.493965
2022-10-05,252.17001,20.332367
2022-10-06,252.85422,19.19782
2022-10-07,253.60263,19.24405
2022-10-08,254.13733,19.366781
2022-10-09,254.48782,18.889479
2022-10-10,255.69005,19.52691
2022-10-11,256.73584,19.135859
2022-10-12,257.2992,18.275051
2022-10-13,257.75623,18.172153
2022-10-14,258.34186,18.018122
2022-10-15,259.70605,17.862032
2022-10-16,260.5041,18.072618
2022-10-17,261.2402,17.71442
2022-10-18,262.14514,16.93369
2022-10-19,262.44098,17.40538
2022-10-20,263.26874,17.196016
2022-10-21,264.8836,17.427319
2022-10-22,265.1789,17.75115
2022-10-23,265.87576,18.635834
2022-10-24,266.79782,18.243685
2022-10-25,267.02426,18.479607
2022-10-26,267.27063,18.410156
2022-10-27,267.85266,17.878202
2022-10-28,268.30978,17.06258
2022-10-29,268.62265,16.949858
2022-10-30,268.73108,17.16025
2022-10-31,269.2175,17.389715
2022-11-01,270.30377,16.399353
2022-11-02,270.66476,16.444683
2022-11-03,270.99197,16.161152
2022-11-04,271.5345,15.687364
2022-11-05,271.63354,15.803031
2022-11-06,272.1243,15.669497
2022-11-07,272.9576,15.660042
2022-11-08,273.50122,15.45988
2022-11-09,273.90424,15.2114935
2022-11-10,274.29648,15.032313
2022-11-11,274.5841,14.574973
2022-11-12,274.77988,14.158068
2022-11-13,275.0744,14.603497
2022-11-14,275.51425,14.396707
2022-11-15,275.97037,14.188617
2022-11-16,276.44794,14.70695
2022-11-17,277.25745,14.7963295
2022-11-18,278.1873,14.470127
2022-11-19,278.86182,15.185024
2022-11-20,279.25024,14.394671
2022-11-21,279.5149,14.575133
2022-11-22,279.77356,14.718947
2022-11-23,280.086,14.494722
2022-11-24,280.53247,14.49125
2022-11-25,280.51572,14.387164
2022-11-26,281.19492,14.326922
2022-11-27,282.45618,14.250807
2022-11-28,282.96417,14.18418
2022-11-29,283.61078,14.119427
2022-11-30,284.18842,14.010576
2022-12-01,284.78073,13.911886
2022-12-02,285.32822,13.735536
2022-12-03,285.82388,13.677805
2022-12-04,286.48117,13.485453
2022-12-05,287.26852,13.398833
2022-12-06,287.88895,13.22989
2022-12-07,288.43066,13.428834
2022-12-08,289.12134,13.616264
2022-12-09,289.54745,14.155484
2022-12-10,289.83487,14.447104
2022-12-11,290.28806,14.3100195
2022-12-12,290.9343,14.688987
2022-12-13,291.1585,14.661381
2022-12-14,291.6457,14.582667
2022-12-15,292.22034,14.436612
2022-12-16,292.71472,14.323593
2022-12-17,293.30243,15.067793
2022-12-18,293.61917,14.692822
2022-12-19,293.77847,14.11754
2022-12-20,294.48184,14.025881
2022-12-21,294.92517,14.33288
2022-12-22,295.49054,14.286691
2022-12-23,296.16156,14.290953
2022-12-24,296.6379,14.27954
2022-12-25,296.65994,14.423425
2022-12-26,296.70184,13.828642
2022-12-27,297.30933,14.289342
2022-12-28,298.00723,14.425813
2022-12-29,298.65692,14.666089
2022-12-30,299.39322,14.9391165
2022-12-31,300.20197,14.533298
2023-01-01,300.61224,14.852661
2023-01-02,301.0886,15.471325
2023-01-03,301.4806,14.192909
2023-01-04,301.7483,13.081435
2023-01-05,301.72458,12.947881
2023-01-06,301.70358,11.173211
2023-01-07,302.14804,10.921933
2023-01-08,302.58426,11.234115
2023-01-09,302.80957,10.940586
2023-01-10,303.18225,10.435496
2023-01-11,303.79712,10.461404
2023-01-12,304.46503,9.808138
2023-01-13,304.99365,9.853521
2023-01-14,305.4313,9.672163
2023-01-15,305.73578,8.389671
2023-01-16,306.00745,8.899242
2023-01-17,306.47296,9.116661
2023-01-18,306.92328,9.055185
2023-01-19,307.34445,10.210502
2023-01-20,307.7494,8.747852
2023-01-21,308.08603,8.015068
2023-01-22,308.29672,7.036258
2023-01-23,308.50156,6.852784
2023-01-24,308.82797,6.715265
2023-01-25,309.0304,6.586728
2023-01-26,309.18335,6.3616414
2023-01-27,309.19,6.99998
2023-01-28,309.5599,6.850276
2023-01-29,309.53287,6.5925097
2023-01-30,309.63977,6.2780504
2023-01-31,310.02402,5.941915
2023-02-01,310.3822,6.2156425
2023-02-02,310.8362,7.030315
2023-02-03,310.94653,6.545649
2023-02-04,311.19055,6.127534
2023-02-05,310.51108,6.4189625
2023-02-06,308.17474,7.9160643
2023-02-07,305.11984,9.410561
2023-02-08,304.71793,10.374997
2023-02-09,305.07553,10.1101
2023-02-10,306.13037,8.2416935
2023-02-11,307.09564,7.7666097
2023-02-12,308.03867,7.7259088
2023-02-13,308.4251,8.860218
2023-02-14,309.53073,9.199909
2023-02-15,309.87704,7.776703
2023-02-16,311.03177,8.37218
2023-02-17,312.4163,10.712933
2023-02-18,313.64047,11.222012
2023-02-19,314.80298,10.792925
2023-02-20,315.4746,10.338935
2023-02-21,315.5893,12.363792
2023-02-22,316.633,11.266486
2023-02-23,317.18777,10.170677
2023-02-24,317.7686,12.795578
2023-02-25,318.97186,14.446708
2023-02-26,319.8889,14.874224
2023-02-27,320.9495,14.8347025
2023-02-28,321.8033,14.648298
2023-03-01,322.40002,15.536973
2023-03-02,323.04245,14.855415
