time,ph
2023-01-18,8.321002
2023-01-19,8.319068
2023-01-20,8.317616
2023-01-21,8.3152
2023-01-22,8.315851
2023-01-23,8.317637
2023-01-24,8.31774
2023-01-25,8.317671
2023-01-26,8.317716
2023-01-27,8.318315
2023-01-28,8.318046
2023-01-29,8.318283
2023-01-30,8.314026
2023-01-31,8.312021
2023-02-01,8.312829
2023-02-02,8.31065
2023-02-03,8.308918
2023-02-04,8.310157
2023-02-05,8.315558
2023-02-06,8.30983
2023-02-07,8.300318
2023-02-08,8.296373
2023-02-09,8.29307
2023-02-10,8.2899685
2023-02-11,8.288667
2023-02-12,8.289716
2023-02-13,8.2913475
2023-02-14,8.289925
2023-02-15,8.291292
2023-02-16,8.288197
2023-02-17,8.285533
2023-02-18,8.283491
2023-02-19,8.281138
2023-02-20,8.284946
2023-02-21,8.284902
2023-02-22,8.279682
2023-02-23,8.281487
2023-02-24,8.283824
2023-02-25,8.282742
2023-02-26,8.280189
2023-02-27,8.276835
2023-02-28,8.277074
2023-03-01,8.276836
2023-03-02,8.277818
2023-03-03,8.2751875
2023-03-04,8.273948
2023-03-05,8.275505
2023-03-06,8.276157
2023-03-07,8.274431
2023-03-08,8.270298
2023-03-09,8.268234
2023-03-10,8.269102
2023-03-11,8.275224
2023-03-12,8.2778
2023-03-13,8.276459
2023-03-14,8.272944
2023-03-15,8.270441
2023-03-16,8.265811
2023-03-17,8.271998
2023-03-18,8.27153
2023-03-19,8.272317
2023-03-20,8.269278
2023-03-21,8.2629595
2023-03-22,8.260881
2023-03-23,8.257659
2023-03-24,8.254896
2023-03-25,8.261024
2023-03-26,8.261828
2023-03-27,8.263307
2023-03-28,8.273283
2023-03-29,8.278008
2023-03-30,8.278025
2023-03-31,8.276071
2023-04-01,8.273244
2023-04-02,8.268972
2023-04-03,8.263618
2023-04-04,8.269973
2023-04-05,8.271082
2023-04-06,8.269451
2023-04-07,8.262717
2023-04-08,8.257034
2023-04-09,8.254024
2023-04-10,8.259102
2023-04-11,8.265555
2023-04-12,8.261042
2023-04-13,8.256607
2023-04-14,8.250161
2023-04-15,8.246667
2023-04-16,8.246527
2023-04-17,8.249066
2023-04-18,8.243733
2023-04-19,8.236115
2023-04-20,8.236385
2023-04-21,8.238543
2023-04-22,8.237027
2023-04-23,8.222105
2023-04-24,8.219912
2023-04-25,8.226532
2023-04-26,8.224212
2023-04-27,8.231431
2023-04-28,8.240291
2023-04-29,8.240862
2023-04-30,8.237942
2023-05-01,8.230857
2023-05-02,8.225171
2023-05-03,8.221964
2023-05-04,8.222284
2023-05-05,8.214617
2023-05-06,8.221311
2023-05-07,8.225092
2023-05-08,8.22289
2023-05-09,8.222213
2023-05-10,8.219555
2023-05-11,8.2162285
2023-05-12,8.21986
2023-05-13,8.213496
2023-05-14,8.204769
2023-05-15,8.198407
2023-05-16,8.198613
2023-05-17,8.20162
2023-05-18,8.206247
2023-05-19,8.203342
2023-05-20,8.200021
2023-05-21,8.194928
2023-05-22,8.19021
2023-05-23,8.181556
2023-05-24,8.167015
2023-05-25,8.154625
2023-05-26,8.151271
2023-05-27,8.14835
2023-05-28,8.163522
2023-05-29,8.167341
2023-05-30,8.162979
2023-05-31,8.160752
2023-06-01,8.152483
2023-06-02,8.141532
2023-06-03,8.150592
2023-06-04,8.170745
2023-06-05,8.17039
2023-06-06,8.168259
2023-06-07,8.164282
2023-06-08,8.159069
2023-06-09,8.155037
2023-06-10,8.150473
2023-06-11,8.151324
2023-06-12,8.155991
2023-06-13,8.156085
2023-06-14,8.153264
2023-06-15,8.144821
2023-06-16,8.13615
2023-06-17,8.136918
2023-06-18,8.137323
2023-06-19,8.135805
2023-06-20,8.139493
2023-06-21,8.128085
2023-06-22,8.124145
2023-06-23,8.127539
2023-06-24,8.128502
