time,temperature_C
2023-05-24,16.863352
2023-05-25,17.327648
2023-05-26,17.914091
2023-05-27,18.315262
2023-05-28,18.01046
2023-05-29,18.235823
2023-05-30,18.526865
2023-05-31,18.664486
2023-06-01,
2023-06-02,
2023-06-03,
2023-06-04,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-10,
2023-06-11,
2023-06-12,
2023-06-13,
2023-06-14,
2023-06-15,
2023-06-16,
2023-06-17,
2023-06-18,
2023-06-19,
2023-06-20,
2023-06-21,
2023-06-22,
2023-06-23,
2023-06-24,
2023-06-25,
2023-06-26,
2023-06-27,
2023-06-28,
2023-06-29,24.229654
2023-06-30,
2023-07-01,23.98932
2023-07-02,
2023-07-03,24.4506
2023-07-04,
2023-07-05,25.260818
2023-07-06,
2023-07-07,25.840763
2023-07-08,
2023-07-09,24.711222
2023-07-10,
2023-07-11,23.87698
2023-07-12,
2023-07-13,24.344276
2023-07-14,
2023-07-15,24.680994
2023-07-16,
2023-07-17,25.018759
2023-07-18,
2023-07-19,25.429365
2023-07-20,
2023-07-21,25.798672
2023-07-22,
2023-07-23,26.232056
2023-07-24,
2023-07-25,25.879148
2023-07-26,
2023-07-27,25.79943
2023-07-28,
2023-07-29,24.806221
2023-07-30,
2023-07-31,24.970018
2023-08-01,
2023-08-02,25.462244
2023-08-03,
2023-08-04,25.991196
2023-08-05,
2023-08-06,26.31207
2023-08-07,
2023-08-08,26.366264
2023-08-09,
2023-08-10,26.102348
2023-08-11,
2023-08-12,25.942875
2023-08-13,
2023-08-14,25.853664
2023-08-15,
2023-08-16,25.77726
2023-08-17,
2023-08-18,25.971079
2023-08-19,
2023-08-20,26.431381
2023-08-21,
2023-08-22,26.901644
2023-08-23,
2023-08-24,26.865444
2023-08-25,
2023-08-26,26.576328
2023-08-27,
2023-08-28,26.47896
2023-08-29,
2023-08-30,26.545694
2023-08-31,
2023-09-01,26.834217
2023-09-02,
2023-09-03,26.411345
2023-09-04,
2023-09-05,26.025436
2023-09-06,
2023-09-07,25.640875
2023-09-08,
2023-09-09,24.832369
2023-09-10,
2023-09-11,23.99176
2023-09-12,
2023-09-13,23.813484
2023-09-14,
2023-09-15,23.763714
2023-09-16,
2023-09-17,23.446629
2023-09-18,
2023-09-19,23.057055
2023-09-20,
2023-09-21,23.189163
2023-09-22,
2023-09-23,23.290607
2023-09-24,
2023-09-25,23.279118
2023-09-26,
2023-09-27,22.982567
2023-09-28,
2023-09-29,22.952473
2023-09-30,
2023-10-01,22.81412
2023-10-02,
2023-10-03,22.05846
2023-10-04,
2023-10-05,21.759903
2023-10-06,
2023-10-07,21.53804
2023-10-08,
2023-10-09,20.892988
2023-10-10,
2023-10-11,20.308805
2023-10-12,
2023-10-13,19.97719
2023-10-14,
2023-10-15,19.9084
2023-10-16,
2023-10-17,19.288368
2023-10-18,
2023-10-19,18.855284
2023-10-20,
2023-10-21,18.82974
2023-10-22,
2023-10-23,18.975075
2023-10-24,
2023-10-25,18.903122
2023-10-26,
2023-10-27,18.858479
2023-10-28,
2023-10-29,18.878044
2023-10-30,
2023-10-31,18.88646
2023-11-01,
2023-11-02,18.731647
2023-11-03,
2023-11-04,18.575302
2023-11-05,
2023-11-06,18.405687
2023-11-07,
2023-11-08,18.304668
2023-11-09,
2023-11-10,18.002573
2023-11-11,
2023-11-12,17.671516
2023-11-13,
2023-11-14,17.304363
2023-11-15,
2023-11-16,16.99297
2023-11-17,
2023-11-18,16.679152
2023-11-19,
2023-11-20,15.780631
2023-11-21,
2023-11-22,15.318206
2023-11-23,
2023-11-24,14.84733
2023-11-25,
2023-11-26,14.441006
2023-11-27,
2023-11-28,13.487231
2023-11-29,
2023-11-30,13.193743
2023-12-01,
2023-12-02,13.138234
2023-12-03,
2023-12-04,13.001544
2023-12-05,
2023-12-06,12.74155
2023-12-07,
2023-12-08,12.612967
2023-12-09,
2023-12-10,12.42269
2023-12-11,
2023-12-12,12.30303
2023-12-13,
2023-12-14,12.196618
2023-12-15,
2023-12-16,12.006096
2023-12-17,
2023-12-18,11.665623
2023-12-19,
2023-12-20,11.574439
2023-12-21,
2023-12-22,11.505755
