time,nitrate,phosphate
2022-07-26,1.8790531,0.20289381
2022-07-27,1.9331217,0.19997257
2022-07-28,1.9840891,0.19911194
2022-07-29,1.8695247,0.19786674
2022-07-30,1.7630084,0.19756599
2022-07-31,1.7975479,0.19743256
2022-08-01,1.87641,0.19685982
2022-08-02,1.8264661,0.19632937
2022-08-03,1.77356,0.19445762
2022-08-04,1.8380333,0.19344014
2022-08-05,1.9268721,0.19192767
2022-08-06,1.90596,0.18935534
2022-08-07,1.7383685,0.19258988
2022-08-08,1.6767933,0.19723026
2022-08-09,1.5928465,0.19879057
2022-08-10,1.3979286,0.20145927
2022-08-11,1.2717344,0.20586462
2022-08-12,1.3271732,0.20720036
2022-08-13,1.4153584,0.20362538
2022-08-14,1.5060465,0.20024431
2022-08-15,1.5716994,0.1971963
2022-08-16,1.6229665,0.19725698
2022-08-17,1.7504054,0.19412406
2022-08-18,1.7466124,0.19198272
2022-08-19,1.7082995,0.1919945
2022-08-20,1.7394401,0.1919279
2022-08-21,1.7188482,0.1909075
2022-08-22,1.6678728,0.18933865
2022-08-23,1.6535274,0.18817389
2022-08-24,1.4828057,0.1902919
2022-08-25,1.2855186,0.19451232
2022-08-26,1.2946395,0.19719034
2022-08-27,1.3846273,0.1979727
2022-08-28,1.513175,0.19620617
2022-08-29,1.6170104,0.19377446
2022-08-30,1.6502951,0.19271314
2022-08-31,1.5065664,0.18919466
2022-09-01,1.2436805,0.1873419
2022-09-02,1.1017998,0.19289888
2022-09-03,1.0349598,0.19692346
2022-09-04,1.0020385,0.20368789
2022-09-05,1.0007527,0.20913139
2022-09-06,1.0625522,0.2117047
2022-09-07,1.0908456,0.20967706
2022-09-08,1.1245917,0.20582323
2022-09-09,1.1804544,0.20235221
2022-09-10,1.171066,0.20023803
2022-09-11,1.2478026,0.1984365
2022-09-12,1.2355456,0.1991251
2022-09-13,1.0812052,0.20022404
2022-09-14,1.1313186,0.2010553
2022-09-15,1.2210646,0.19887769
2022-09-16,1.3448572,0.19778933
2022-09-17,1.3290036,0.19332704
2022-09-18,1.1867594,0.1921892
2022-09-19,1.0954986,0.19449611
2022-09-20,1.1051925,0.19240917
2022-09-21,1.0890024,0.19094674
2022-09-22,1.0669795,0.19307157
2022-09-23,1.0555582,0.19533464
2022-09-24,1.0418154,0.19399679
2022-09-25,1.1035517,0.19199862
2022-09-26,1.073086,0.18679276
2022-09-27,1.1324202,0.18399754
2022-09-28,1.1706979,0.18186995
2022-09-29,1.1933823,0.17803171
2022-09-30,1.2578677,0.17406961
2022-10-01,1.3573047,0.17016175
2022-10-02,1.1443285,0.17160359
2022-10-03,1.0180432,0.17821382
2022-10-04,1.037359,0.17779031
2022-10-05,1.0759659,0.17841686
2022-10-06,1.2065681,0.17961384
2022-10-07,1.1172127,0.17892441
2022-10-08,0.93165225,0.1789894
2022-10-09,0.9330332,0.1807756
2022-10-10,0.8563927,0.1849923
2022-10-11,0.9641456,0.18586257
2022-10-12,1.0899453,0.18576002
2022-10-13,1.0240333,0.18305811
2022-10-14,0.8932633,0.18308905
2022-10-15,0.83589333,0.1872775
2022-10-16,0.81517553,0.18877228
2022-10-17,0.82154596,0.19039908
2022-10-18,0.9013353,0.19229862
2022-10-19,0.9977092,0.1898039
2022-10-20,0.77300286,0.19329606
2022-10-21,0.820375,0.19768009
2022-10-22,0.83886313,0.1940101
2022-10-23,0.88001335,0.19213083
2022-10-24,0.98925006,0.1924029
2022-10-25,1.0111525,0.18841106
2022-10-26,0.95032364,0.18765247
2022-10-27,1.0297801,0.18930884
2022-10-28,1.1189021,0.18982399
2022-10-29,1.2012318,0.18840495
2022-10-30,1.1159439,0.18371737
2022-10-31,1.0609214,0.18410659
2022-11-01,1.0881454,0.18686
2022-11-02,1.1205391,0.1850626
2022-11-03,1.0362663,0.18648931
2022-11-04,1.087804,0.18724212
2022-11-05,0.9882421,0.18482009
2022-11-06,0.87556785,0.18852594
2022-11-07,0.87182796,0.19501086
2022-11-08,1.0224229,0.19612938
2022-11-09,1.0855873,0.19650906
2022-11-10,1.1532613,0.19520168
2022-11-11,1.2093219,0.19329385
2022-11-12,1.1210502,0.19380422
2022-11-13,1.2619661,0.19541146
2022-11-14,1.1985762,0.19439968
2022-11-15,1.238032,0.19314021
2022-11-16,1.3590997,0.1927648
2022-11-17,1.3738526,0.19437869
2022-11-18,1.1350641,0.19586709
2022-11-19,1.0329243,0.1950951
